unit	conversion	fundamental_unit
minute	1	time
second	0.016667	time
millisecond	1.666667e-5	time
ms	1.666667e-5	time
hour	60	time
hr	60	time
day	1440	time
week	10080	time
year	525600	time
yr	525600	time
millimeter	0.001	length
mm	0.001	length
meter	1	length
m	1	length
kilometer	1000.0	length
km	1000.0	length
centimeter	0.01	length 
cm	0.01	length 
micrometer	1.0e-6	length 
foot	0.304878	length 
feet	0.304878	length 
ft	0.304878	length 
yard	0.914634	length 
yd	0.914634	length 
inch	0.0254	length 
inche	0.0254	length 
in	0.0254	length 
mile	1609.340095	length
mi	1609.340095	length
kilogram	1	weight
kg	1	weight
gram	0.001	weight
gm	0.001	weight
ounce	0.0283495	weight
oz	0.0283495	weight
pound	0.453515	weight
lb	0.453515	weight
ton	907.185	weight
people	1	person
$	1	money
US$	1	money
USD	1	money
sq-millimeter	1e-6	area
sq-mm	1e-6	area
sq-centimeter	1e-4	area
sq-cm	1e-4	area
sq-meter	1	area
sq-m	1	area
sq-kilometer	1e6	area
sq-km	1e6	area
sq-inch	6.4516e-4	area
sq-inche	6.4516e-4	area
sq-in	6.4516e-4	area
sq-foot	0.092951	area
sq-feet	0.092951	area
sq-ft	0.092951	area
sq-yard	0.836555	area
sq-yd	0.836555	area
sq-mile	2589975.541375	area
sq-mi	2589975.541375	area
acre	4046.86	area
ac	4046.86	area
hectacre	100000	area
ha	100000	area
cu-millimeter	1e-6	volume
cu-mm	1e-6	volume
cu-centimeter	1e-3	volume
cu-cm	1e-3	volume
cu-meter	1e3	volume
cu-m	1e3	volume
cu-kilometer	1e12	volume
cu-km	1e12	volume
cu-inch	1.638706e-2	volume
cu-inche	1.638706e-2	volume
cu-in	1.638706e-2	volume
cu-foot	0.028339e3	volume
cu-feet	0.028339e3	volume
cu-ft	0.028339e3	volume
cu-yard	0.765142e3	volume
cu-yd	0.765142e3	volume
cu-mile	4.168151e12	volume
cu-mi	4.168151e12	volume
liter	1	volume
l	1	volume
barrel	159	volume
gallon	3.784997	volume
ga	3.784997	volume
quart	0.946353	volume
qt	0.946353	volume
